edible,cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,population
p,x,s,n,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,s
e,x,s,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n
e,b,s,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n
p,x,y,w,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,s
e,x,s,g,f,f,w,b,k,t,e,s,s,w,w,p,w,o,e,a
e,x,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n
e,b,s,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n
e,b,y,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,s
p,x,y,w,t,f,c,n,p,e,e,s,s,w,w,p,w,o,p,v
e,b,s,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,s
e,x,y,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n
e,x,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,s
e,b,s,y,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,s
p,x,y,w,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,v
e,x,f,n,f,f,w,b,n,t,e,s,f,w,w,p,w,o,e,a
e,s,f,g,f,f,c,n,k,e,e,s,s,w,w,p,w,o,p,y
e,f,f,w,f,f,w,b,k,t,e,s,s,w,w,p,w,o,e,a
p,x,s,n,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,s
p,x,y,w,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,s
p,x,s,n,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,s
e,b,s,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,s
p,x,y,n,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,v
e,b,y,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,s
e,b,y,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n
e,b,s,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,s
p,f,s,w,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,v
e,x,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n
e,x,y,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n
e,f,f,n,f,f,c,n,k,e,e,s,s,w,w,p,w,o,p,y
e,x,s,y,t,f,w,n,n,t,b,s,s,w,w,p,w,o,p,v
e,b,s,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n
p,x,y,w,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,s
e,x,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n
e,x,y,n,t,f,c,b,p,e,r,s,y,w,w,p,w,o,p,y
e,b,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,s
e,x,f,y,t,f,w,n,w,t,b,s,s,w,w,p,w,o,p,v
e,s,f,g,f,f,c,n,k,e,e,s,s,w,w,p,w,o,p,v
p,x,y,n,t,f,c,n,w,e,e,s,s,w,w,p,w,o,p,s
e,x,f,y,t,f,w,n,p,t,b,s,s,w,w,p,w,o,p,v
e,b,s,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,s
e,b,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,s
e,x,y,y,t,f,c,b,n,e,r,s,y,w,w,p,w,o,p,y
e,x,f,n,f,f,c,n,g,e,e,s,s,w,w,p,w,o,p,y
p,x,y,w,t,f,c,n,p,e,e,s,s,w,w,p,w,o,p,v
e,x,s,y,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n
e,x,y,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n
e,x,y,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,s
e,x,s,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n
e,x,y,y,t,f,c,b,n,e,r,s,y,w,w,p,w,o,p,s
e,f,y,y,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,s
e,x,y,n,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,s
e,x,s,w,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,s
e,b,s,w,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n
p,x,y,n,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,v
p,x,s,w,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,v
e,b,y,y,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,s
e,f,f,g,f,f,w,b,n,t,e,s,s,w,w,p,w,o,e,a
e,b,s,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n
e,x,s,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n
e,x,y,n,t,f,c,b,p,e,r,s,y,w,w,p,w,o,p,y
e,s,f,g,f,f,c,n,k,e,e,s,s,w,w,p,w,o,p,v
e,b,y,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,s
e,b,s,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,s
e,b,y,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n
e,b,y,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,s
e,f,s,n,f,f,w,b,k,t,e,s,s,w,w,p,w,o,e,a
e,x,s,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,s
e,f,y,y,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,s
e,x,y,y,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n
e,x,f,g,f,f,c,n,p,e,e,s,s,w,w,p,w,o,p,v
e,f,f,y,t,f,w,n,p,t,b,s,s,w,w,p,w,o,p,v
e,b,y,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,s
e,f,f,y,t,f,w,n,w,t,b,s,s,w,w,p,w,o,p,v
e,x,y,n,t,f,c,b,p,e,r,s,y,w,w,p,w,o,p,s
e,b,s,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,s
e,f,s,y,t,f,w,n,p,t,b,s,s,w,w,p,w,o,p,v
e,x,s,w,t,f,w,n,n,t,b,s,s,w,w,p,w,o,p,v
e,f,y,n,t,f,c,b,p,e,r,s,y,w,w,p,w,o,p,y
p,x,y,n,t,f,c,n,w,e,e,s,s,w,w,p,w,o,p,v
e,f,y,n,t,f,c,b,n,e,r,s,y,w,w,p,w,o,p,y
e,x,s,n,f,f,w,b,k,t,e,f,s,w,w,p,w,o,e,s
p,x,y,w,t,f,c,n,w,e,e,s,s,w,w,p,w,o,p,s
e,f,f,g,f,f,c,n,n,e,e,s,s,w,w,p,w,o,p,y
e,x,f,g,f,f,w,b,n,t,e,s,s,w,w,p,w,o,e,s
e,x,y,y,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,s
e,x,s,n,f,f,w,b,k,t,e,s,s,w,w,p,w,o,e,s
e,b,s,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,s
e,x,s,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,s
e,f,y,n,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,y
e,s,f,n,f,f,c,n,n,e,e,s,s,w,w,p,w,o,p,v
e,x,f,n,f,f,c,n,n,e,e,s,s,w,w,p,w,o,p,y
e,b,s,w,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,s
e,x,y,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,s
e,x,y,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n
e,x,s,n,f,f,w,b,n,t,e,s,s,w,w,p,w,o,e,a
e,x,s,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,s
e,f,y,n,t,f,c,b,p,e,r,s,y,w,w,p,w,o,p,s
e,x,s,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n
e,b,s,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,s
e,x,y,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,s
e,x,f,n,f,f,w,b,p,t,e,f,s,w,w,p,w,o,e,s
e,b,s,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n
e,f,y,y,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,s
e,x,y,y,t,f,c,b,n,e,r,s,y,w,w,p,w,o,p,y
e,b,y,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n
e,x,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n
e,x,y,y,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,y
e,b,y,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,s
e,b,y,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,s
e,x,s,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n
e,x,s,y,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n
e,s,f,g,f,f,c,n,g,e,e,s,s,w,w,p,w,o,p,y
e,x,f,w,t,f,w,n,w,t,b,s,s,w,w,p,w,o,p,v
e,x,s,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n
p,x,y,w,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,v
e,x,y,y,t,f,c,b,p,e,r,s,y,w,w,p,w,o,p,s
e,s,f,g,f,f,c,n,p,e,e,s,s,w,w,p,w,o,p,y
e,x,y,y,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,y
e,x,s,y,t,f,w,n,p,t,b,s,s,w,w,p,w,o,p,v
e,s,f,n,f,f,c,n,k,e,e,s,s,w,w,p,w,o,p,y
p,x,s,w,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,v
e,x,y,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n
p,f,y,n,t,f,c,n,p,e,e,s,s,w,w,p,w,o,p,v
e,f,s,g,f,f,w,b,k,t,e,s,s,w,w,p,w,o,e,a
e,x,s,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,s
e,x,s,w,f,f,w,b,n,t,e,s,f,w,w,p,w,o,e,s
